frame,stage,timestamp_ms
199,frame:in,1.7598e+12
199,frame:out,1.7598e+12
200,frame:in,1.7598e+12
200,frame:out,1.7598e+12
201,frame:in,1.7598e+12
201,frame:out,1.7598e+12
202,frame:in,1.7598e+12
202,frame:out,1.7598e+12
203,frame:in,1.7598e+12
203,frame:out,1.7598e+12
204,frame:in,1.7598e+12
204,frame:out,1.7598e+12
205,frame:in,1.7598e+12
205,frame:out,1.7598e+12
206,frame:in,1.7598e+12
206,frame:out,1.7598e+12
207,frame:in,1.7598e+12
207,frame:out,1.7598e+12
208,frame:in,1.7598e+12
208,frame:out,1.7598e+12
209,frame:in,1.7598e+12
209,frame:out,1.7598e+12
210,frame:in,1.7598e+12
210,frame:out,1.7598e+12
211,frame:in,1.7598e+12
211,frame:out,1.7598e+12
212,frame:in,1.7598e+12
212,frame:out,1.7598e+12
213,frame:in,1.7598e+12
213,frame:out,1.7598e+12
214,frame:in,1.7598e+12
214,frame:out,1.7598e+12
215,frame:in,1.7598e+12
215,frame:out,1.7598e+12
216,frame:in,1.7598e+12
216,frame:out,1.7598e+12
217,frame:in,1.7598e+12
217,frame:out,1.7598e+12
218,frame:in,1.7598e+12
218,frame:out,1.7598e+12
219,frame:in,1.7598e+12
219,frame:out,1.7598e+12
220,frame:in,1.7598e+12
220,frame:out,1.7598e+12
221,frame:in,1.7598e+12
221,frame:out,1.7598e+12
222,frame:in,1.7598e+12
222,frame:out,1.7598e+12
223,frame:in,1.7598e+12
223,frame:out,1.7598e+12
224,frame:in,1.7598e+12
224,frame:out,1.7598e+12
225,frame:in,1.7598e+12
225,frame:out,1.7598e+12
226,frame:in,1.7598e+12
226,frame:out,1.7598e+12
227,frame:in,1.7598e+12
227,frame:out,1.7598e+12
228,frame:in,1.7598e+12
228,frame:out,1.7598e+12
229,frame:in,1.7598e+12
229,frame:out,1.7598e+12
230,frame:in,1.7598e+12
230,frame:out,1.7598e+12
231,frame:in,1.7598e+12
231,frame:out,1.7598e+12
232,frame:in,1.7598e+12
232,frame:out,1.7598e+12
233,frame:in,1.7598e+12
233,frame:out,1.7598e+12
234,frame:in,1.7598e+12
234,frame:out,1.7598e+12
235,frame:in,1.7598e+12
235,frame:out,1.7598e+12
236,frame:in,1.7598e+12
236,frame:out,1.7598e+12
237,frame:in,1.7598e+12
237,frame:out,1.7598e+12
238,frame:in,1.7598e+12
238,frame:out,1.7598e+12
239,frame:in,1.7598e+12
239,frame:out,1.7598e+12
240,frame:in,1.7598e+12
240,frame:out,1.7598e+12
241,frame:in,1.7598e+12
241,frame:out,1.7598e+12
242,frame:in,1.7598e+12
242,frame:out,1.7598e+12
243,frame:in,1.7598e+12
243,frame:out,1.7598e+12
244,frame:in,1.7598e+12
244,frame:out,1.7598e+12
245,frame:in,1.7598e+12
245,frame:out,1.7598e+12
246,frame:in,1.7598e+12
246,frame:out,1.7598e+12
247,frame:in,1.7598e+12
247,frame:out,1.7598e+12
248,frame:in,1.7598e+12
248,frame:out,1.7598e+12
249,frame:in,1.7598e+12
249,frame:out,1.7598e+12
250,frame:in,1.7598e+12
250,frame:out,1.7598e+12
251,frame:in,1.7598e+12
251,frame:out,1.7598e+12
252,frame:in,1.7598e+12
252,frame:out,1.7598e+12
253,frame:in,1.7598e+12
253,frame:out,1.7598e+12
254,frame:in,1.7598e+12
254,frame:out,1.7598e+12
255,frame:in,1.7598e+12
255,frame:out,1.7598e+12
256,frame:in,1.7598e+12
256,frame:out,1.7598e+12
257,frame:in,1.7598e+12
257,frame:out,1.7598e+12
258,frame:in,1.7598e+12
258,frame:out,1.7598e+12
259,frame:in,1.7598e+12
259,frame:out,1.7598e+12
260,frame:in,1.7598e+12
260,frame:out,1.7598e+12
261,frame:in,1.7598e+12
261,frame:out,1.7598e+12
262,frame:in,1.7598e+12
262,frame:out,1.7598e+12
263,frame:in,1.7598e+12
263,frame:out,1.7598e+12
264,frame:in,1.7598e+12
264,frame:out,1.7598e+12
265,frame:in,1.7598e+12
265,frame:out,1.7598e+12
266,frame:in,1.7598e+12
266,frame:out,1.7598e+12
267,frame:in,1.7598e+12
267,frame:out,1.7598e+12
268,frame:in,1.7598e+12
268,frame:out,1.7598e+12
269,frame:in,1.7598e+12
269,frame:out,1.7598e+12
270,frame:in,1.7598e+12
270,frame:out,1.7598e+12
271,frame:in,1.7598e+12
271,frame:out,1.7598e+12
272,frame:in,1.7598e+12
272,frame:out,1.7598e+12
273,frame:in,1.7598e+12
273,frame:out,1.7598e+12
274,frame:in,1.7598e+12
274,frame:out,1.7598e+12
275,frame:in,1.7598e+12
275,frame:out,1.7598e+12
276,frame:in,1.7598e+12
276,frame:out,1.7598e+12
277,frame:in,1.7598e+12
277,frame:out,1.7598e+12
278,frame:in,1.7598e+12
278,frame:out,1.7598e+12
279,frame:in,1.7598e+12
279,frame:out,1.7598e+12
280,frame:in,1.7598e+12
280,frame:out,1.7598e+12
281,frame:in,1.7598e+12
281,frame:out,1.7598e+12
282,frame:in,1.7598e+12
282,frame:out,1.7598e+12
283,frame:in,1.7598e+12
283,frame:out,1.7598e+12
284,frame:in,1.7598e+12
284,frame:out,1.7598e+12
285,frame:in,1.7598e+12
285,frame:out,1.7598e+12
286,frame:in,1.7598e+12
286,frame:out,1.7598e+12
287,frame:in,1.7598e+12
287,frame:out,1.7598e+12
288,frame:in,1.7598e+12
288,frame:out,1.7598e+12
289,frame:in,1.7598e+12
289,frame:out,1.7598e+12
290,frame:in,1.7598e+12
290,frame:out,1.7598e+12
